Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Boston College,ACC,1,Grace Penn,Fr,S,5-10,18,6,62,NA,1,4,24,-0.125,278,8,14,71,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,4,Anna Murphy,Fr,L,5-6,18,0,62,NA,5,0,20,0.25,13,14,5,213,18,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,5,Sophia Lambros,Fr,S,6-0,18,16,63,NA,9,7,45,0.044,296,31,19,93,1,2,9,1,7.5,46.5,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,9,Katrina Jensen,Fr,OH,6-1,18,9,57,NA,108,55,324,0.164,1,NA,1,24,3,3,9,3,10.5,115.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,10,Peyton Minyard,Fr,MB,6-2,10,1,15,NA,13,1,23,0.522,NA,3,1,2,NA,2,3,NA,3.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,11,Alayna Crabtree,Fr,OH,6-2,14,3,30,NA,25,25,93,0,NA,NA,3,13,2,NA,3,NA,1.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,13,Rachel Grant,Fr,OH,6-1,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,16,Annie Cornay,Fr,MB,6-3,10,3,23,NA,17,21,65,-0.062,1,1,NA,3,NA,1,9,2,7.5,23.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,18,Bridget Green,Fr,L,5-8,18,4,60,NA,2,3,17,-0.059,23,16,18,76,11,NA,NA,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,4,Anna Renwick,Fr,L/DS,5-6,4,4,15,NA,0,0,0,NA,12,3,4,28,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,10,Cate Long,Fr,OH,6-1,22,20,86,NA,197,89,620,0.174,21,38,39,183,19,2,18,5,16,246,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,13,Colleen Finney,Fr,OH,6-1,13,12,52,NA,88,40,234,0.205,4,3,14,37,NA,8,28,4,26,113,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,14,Jenna Moore,Fr,S,5-10,3,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,24,Camryn Hannah,Fr,RS,6-2,20,16,77,NA,306,126,716,0.251,13,11,29,175,36,4,18,1,14,330,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,5,Sydney Yap,Fr,S,5-9,37,NA,37,NA,1,0,5,0.2,72,4,5,60,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,9,Georgia Stavrinides,Fr,MB,6-2,22,8,61,NA,54,21,155,0.213,8,8,17,24,1,7,51,2,34.5,94.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,15,Sydney Conley,Fr,RS,6-1,13,2,28,NA,22,15,84,0.083,2,1,2,15,2,1,15,1,9.5,31.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,7,Elizabeth Patterson,Fr,S,5-9,9,NA,9,NA,0,0,0,NA,1,1,1,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,10,Isabella D'Amico,Fr,S,6-0,17,5,40,NA,6,2,31,0.129,251,2,1,36,NA,NA,12,2,8,14,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,1,Ceci Rush,Fr,L/DS,5-9,14,0,29,NA,1,0,1,1,1,5,6,10,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,2,Ayden Bartlett,Fr,L/DS,5-6,17,4,51,NA,1,0,3,0.333,13,3,16,99,7,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,6,Brooke Smith,Fr,OH,6-2,1,0,1,NA,1,0,2,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,10,Phekran PK Kong,Fr,MB,6-3,2,0,2,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,14,Anna DeBeer,Fr,OH,6-0,18,13,55,NA,174,70,408,0.255,2,10,24,90,15,3,22,4,18,198,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,4,Lauren Tarnoff,Fr,MB,6-2,8,8,31,NA,64,20,129,0.341,1,NA,NA,9,NA,1,15,3,11.5,72.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,8,Michalina Rola,Fr,OH,5-11,14,4,32,NA,24,14,76,0.132,1,5,6,22,2,1,8,2,7,34,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,11,Hartley Myers,Fr,OH,6-1,4,3,9,NA,16,14,67,0.03,1,NA,3,12,7,NA,2,2,3,17,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,20,Sydney Ferguson,Fr,OH,6-3,2,NA,2,NA,0,2,4,-0.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,25,Riley Shaak,Fr,MB,6-3,16,16,58,NA,55,18,149,0.248,5,11,27,23,1,4,33,3,23.5,86.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,2,Sydney Reed,Fr,L/DS,5-6,20,NA,20,NA,0,0,2,0,8,4,6,26,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,4,Olivia Diaz,Fr,L/DS,5-4,16,6,51,NA,0,0,9,0,18,7,6,92,14,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,10,Aziah Buckner,Fr,OH,6-0,15,9,46,1,114,54,318,0.189,3,12,12,84,15,1,16,1,10,135,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,11,Maylen Mitrovich,Fr,S,5-11,11,6,44,NA,6,2,15,0.267,255,10,8,93,NA,1,5,1,4.5,19.5,10,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,14,Kaya Merkler,Fr,MH,6-3,18,11,71,1,146,64,383,0.214,2,4,12,45,2,2,50,2,30,177,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,8,Hattie Monson,Fr,L/DS,5-6,71,NA,71,NA,1,0,19,0.053,58,17,16,303,21,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,11,Lindsey Miller,Fr,MB,6-4,16,16,58,NA,119,16,233,0.442,1,2,7,18,NA,3,56,6,37,152,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,12,Aubrey Hamilton,Fr,OH,6-2,19,14,71,NA,195,69,627,0.201,1,1,2,51,2,3,30,3,21,214,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,18,Charity McDowell,Fr,MB,6-0,5,NA,5,NA,3,2,9,0.111,NA,NA,NA,NA,1,1,3,NA,2.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,2,Valeria Vazquez Gomez,Fr,OH,6-1,24,21,85,1,168,69,502,0.197,13,18,16,205,20,3,23,4,20,200.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,3,Cat Flood,Fr,OH,6-2,13,NA,13,NA,0,1,2,-0.5,NA,2,3,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,8,Anastasia Russ,Fr,MB,6-5,8,2,13,1,12,3,19,0.474,1,NA,NA,NA,NA,NA,20,NA,13.5,22,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,15,Sadie Dick,Fr,OH,6-2,2,NA,2,NA,0,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,1,Lauren Hogan,Fr,DS,5-4,59,NA,59,NA,2,1,32,0.031,39,12,13,280,4,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,17,Naomi Franco,Fr,OH,6-3,15,5,49,NA,53,28,163,0.153,NA,NA,2,17,NA,2,16,7,17,63,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,14,Mary Shaffer,Fr,OH,6-0,3,NA,3,NA,1,1,5,0,NA,NA,NA,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
