Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Boston College,ACC,7,Mackenzie Fuhrmann,Jr,OH,6-0,10,4,33,NA,34,29,136,0.037,2,NA,2,18,NA,1,22,2,14,46,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,20,Jewel Strawberry,Jr,OH,5-11,9,0,16,NA,0,1,3,-0.333,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,8,Crystal Childs,Jr,OH,5-8,18,10,65,NA,21,9,82,0.146,16,9,11,112,21,NA,4,NA,2,32,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,9,Katelyn DeGuzman,Jr,L/DS,5-1,3,NA,3,NA,0,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,15,Ashtynne Alberts,Jr,OH,5-11,5,1,7,NA,10,6,32,0.125,NA,1,NA,4,2,1,2,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,20,Ava Pritchard,Jr,MB,6-0,20,15,66,NA,106,45,255,0.239,3,1,NA,10,1,2,52,3,31,135,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,22,Solei Thomas,Jr,OH,5-11,22,15,83,NA,204,98,524,0.202,9,6,12,70,NA,2,43,7,30.5,233.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,3,Mackenzie Cole,Jr,DS,5-10,86,NA,86,NA,8,2,40,0.15,93,38,30,396,8,NA,NA,NA,NA,46,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,4,Lily Cooper,Jr,MB,6-5,22,22,84,NA,144,40,338,0.308,2,NA,NA,6,1,10,70,4,49,189,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,8,Ade Owokoniran,Jr,MB,6-3,21,19,83,NA,243,122,684,0.177,7,8,24,110,22,4,46,5,32,278,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,10,Alex Springate,Jr,S,5-9,22,22,85,NA,14,7,48,0.146,551,8,28,181,NA,NA,8,2,6,26,11,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,1,Taylor Roberts,Jr,L,5-4,3,NA,3,NA,0,0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,11,Marissa Stockman,Jr,MB,6-2,8,3,18,NA,13,5,33,0.242,2,NA,NA,7,NA,1,24,2,15,26,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,17,Adrian Ell,Jr,S,6-3,4,NA,4,NA,5,4,19,0.053,NA,NA,NA,1,NA,NA,3,NA,1.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,6,Maddie Tippett,Jr,L/DS,5-6,62,NA,62,NA,1,0,5,0.2,42,6,14,193,26,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,11,Breland Morrissette,Jr,MB,6-1,18,NA,18,NA,8,4,19,0.211,NA,NA,NA,3,NA,3,13,NA,9.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,13,Mariana Brambilla,Jr,OH,5-11,19,19,64,NA,270,78,603,0.318,15,17,13,184,1,3,30,2,20,305,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,22,Matti McKissock,Jr,S,5-9,16,14,48,NA,9,4,43,0.116,476,1,11,68,NA,1,9,1,6.5,15.5,6,NA,NA,NA,NA,NA,NA,NA
