Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School
2020-2021,Boston College,ACC,1,Grace Penn,Fr,S,5-10,18,6,62,NA,1,4,24,-0.125,278,8,14,71,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,2,Silvia Ianeselli,So,OH,6-1,15,5,42,NA,67,35,233,0.137,NA,7,1,46,3,5,8,3,12,83,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,3,Gabby McCaa,So,MB,6-3,18,18,60,NA,69,28,153,0.268,2,4,6,16,1,12,48,6,42,109,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,4,Anna Murphy,Fr,L,5-6,18,0,62,NA,5,0,20,0.25,13,14,5,213,18,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,5,Sophia Lambros,Fr,S,6-0,18,16,63,NA,9,7,45,0.044,296,31,19,93,1,2,9,1,7.5,46.5,5,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,6,Torey Baum,So,L,5-8,5,NA,5,NA,0,0,4,0,NA,NA,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,7,Mackenzie Fuhrmann,Jr,OH,6-0,10,4,33,NA,34,29,136,0.037,2,NA,2,18,NA,1,22,2,14,46,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,8,Clare Naughton,Sr,OH,6-1,17,17,59,NA,155,65,535,0.168,9,7,12,139,20,5,13,NA,11.5,173.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,9,Katrina Jensen,Fr,OH,6-1,18,9,57,NA,108,55,324,0.164,1,NA,1,24,3,3,9,3,10.5,115.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,10,Peyton Minyard,Fr,MB,6-2,10,1,15,NA,13,1,23,0.522,NA,3,1,2,NA,2,3,NA,3.5,19.5,NA,NA,NA,NA,NA,NA,NA
