Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Boston College,ACC,8,Clare Naughton,Sr,OH,6-1,17,17,59,NA,155,65,535,0.168,9,7,12,139,20,5,13,NA,11.5,173.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,14,Amaka Chukwujekwu,Sr,MB,5-11,17,17,59,NA,95,38,193,0.295,NA,NA,3,19,NA,3,42,2,26,119,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,5,Lisie Kit,Sr,S,5-10,16,NA,16,NA,0,0,1,0,5,2,1,20,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,6,Alyssa Deloney,Sr,MH,6-0,4,4,13,NA,20,5,46,0.326,1,5,4,4,1,NA,12,1,7,31,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,99,Madi Howell,Sr,L/DS,5-6,23,NA,23,NA,0,0,1,0,15,6,2,73,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,11,Payton Schwantz,Sr,OH,5-11,19,16,70,NA,160,65,438,0.217,8,7,13,152,16,1,22,NA,12,179,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,12,Summer Brown,Sr,MB,6-5,2,NA,2,NA,1,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,15,Kincey Smith,Sr,DS,5-8,4,1,9,NA,0,0,0,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,17,Franky Harrison,Sr,OH,5-10,19,6,66,NA,17,14,80,0.038,5,4,13,116,21,NA,4,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,4,Jasmyn Martin,Sr,OH,6-3,18,18,65,NA,184,69,469,0.245,1,4,18,55,2,2,41,4,26.5,210.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,5,Caleigh Morrison,Sr,MB,6-4,1,1,1,NA,0,1,2,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,13,Taryn Knuth,Sr,MB,6-3,14,12,50,NA,123,11,204,0.549,8,NA,3,21,NA,10,59,2,41.5,162.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,14,Caroline Golden,Sr,L,5-9,63,NA,63,NA,2,3,23,-0.043,59,13,14,169,14,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,20,Olivia Dailey,Sr,S,5-10,17,13,62,NA,18,7,90,0.122,477,24,9,144,NA,1,24,4,17,55,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,47,Amari Williams,Sr,MB,6-2,3,2,8,NA,9,0,26,0.346,1,NA,NA,NA,NA,1,5,1,4.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,5,Grace Rigsbee,Sr,RS,6-2,15,NA,15,NA,3,2,11,0.091,1,1,NA,3,NA,NA,1,1,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,5,Piper Roe,Sr,MB,6-2,1,1,3,NA,5,1,6,0.667,NA,NA,NA,NA,NA,NA,5,NA,2.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,8,Alexis Hamilton,Sr,L/DS,5-7,18,0,61,NA,2,1,6,0.167,41,14,20,212,6,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,6,Janet Kalaniuvalu,Sr,OH,6-2,18,14,70,NA,143,78,482,0.135,6,7,41,93,3,NA,27,5,18.5,163.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,7,Madison Dill,Sr,MB,6-3,4,NA,4,NA,1,0,6,0.167,NA,NA,2,NA,NA,NA,1,NA,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,9,Elizaveta Lukianova,Sr,OH,6-6,18,16,69,NA,317,124,706,0.273,2,8,9,59,1,13,32,2,31,354,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,3,Melissa Evans,Sr,OPP,6-1,16,16,58,NA,230,95,607,0.222,14,13,33,146,NA,NA,31,3,18.5,258.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,9,Mmachi Nwoke,Sr,MB,6-1,9,2,20,NA,12,9,43,0.07,NA,4,6,6,NA,1,10,NA,6,22,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,3,Aristea Tontai,Sr,MB,6-4,14,8,42,NA,44,16,112,0.25,3,15,16,21,NA,3,37,3,25,80.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,7,Monroe Olsen,Sr,S,6-2,44,NA,44,NA,1,0,4,0.25,4,12,13,36,NA,NA,1,NA,0.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,14,Hannah Thompson,Sr,OH,5-9,19,19,70,NA,102,36,249,0.265,1,4,7,12,NA,4,76,5,47,148,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,5,Chinaza Ndee,Sr,RS,5-11,24,24,88,1,297,91,682,0.302,10,7,11,63,1,4,79,5,50,347.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,6,Kylee Levers,Sr,S,6-0,23,14,85,1,2,3,15,-0.067,472,12,27,116,NA,NA,1,NA,0.5,14.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,9,Marija Popovic,Sr,L/DS,5-5,48,NA,48,NA,0,0,5,0,26,2,12,113,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,10,Zoi Faki,Sr,OH,6-1,24,3,72,NA,23,9,63,0.222,9,10,9,41,6,1,3,1,3.5,35.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,23,Kayla Lund,Sr,OH,6-0,24,24,88,1,329,139,805,0.236,23,36,32,260,13,3,42,4,29,389,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,7,Ella Saada,Sr,OH,6-1,16,15,59,NA,134,69,423,0.154,9,7,11,118,20,NA,15,6,13.5,148.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,13,Yuliia Yastrub,Sr,OH,6-2,16,13,53,NA,88,31,280,0.204,9,7,5,114,4,2,28,1,17,111,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,15,Dana Gardner,Sr,MB,6-3,2,NA,2,NA,1,1,3,0,NA,NA,NA,NA,NA,NA,1,NA,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,2,Alexandra Spencer,Sr,L/DS,5-11,14,1,49,NA,6,5,31,0.032,21,6,12,231,18,NA,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
