Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School
2020-2021,Boston College,ACC,2,Silvia Ianeselli,So,OH,6-1,15,5,42,NA,67,35,233,0.137,NA,7,1,46,3,5,8,3,12,83,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,3,Gabby McCaa,So,MB,6-3,18,18,60,NA,69,28,153,0.268,2,4,6,16,1,12,48,6,42,109,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,6,Torey Baum,So,L,5-8,5,NA,5,NA,0,0,4,0,NA,NA,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,12,Izzy Clavenna,So,RS,6-2,18,5,52,NA,73,35,221,0.172,1,NA,NA,18,NA,2,20,2,14,85,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,15,Payton Hielscher,So,S,6-1,6,NA,6,NA,0,0,1,0,3,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,18,Mckenna Slavik,So,S,6-1,22,22,86,NA,72,12,216,0.278,841,15,10,207,NA,3,29,NA,17.5,104.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,19,Caitlyn Meeks,So,L/DS,5-9,63,NA,63,NA,1,2,16,-0.063,37,6,13,207,27,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,34,Ani Clark,So,MB,6-3,15,13,52,NA,73,33,162,0.247,3,7,12,17,NA,11,25,5,28.5,103.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,1,Camille Nazor,So,S,6-1,20,1,64,NA,23,6,51,0.333,207,3,8,70,1,1,10,NA,6,32,10,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,2,Moorea Wood,So,OH,6-2,23,NA,23,NA,25,12,58,0.224,NA,NA,1,1,1,NA,2,NA,1,26,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,7,Gracie Johnson,So,OH,6-0,22,21,85,NA,223,113,688,0.16,5,11,25,143,19,1,43,4,26.5,256.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,16,Lizzie Fleming,So,MB,6-3,22,16,86,NA,140,35,420,0.25,5,11,13,37,1,4,74,4,45,192,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,3,Morgan Chacon,So,OH,5-11,18,18,65,NA,183,60,535,0.23,10,17,12,161,16,1,21,2,13.5,211.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,7,Lily Tessier,So,S,6-3,13,5,34,NA,12,0,24,0.5,129,7,2,36,1,NA,5,NA,2.5,21.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,10,Jessica Nunge,So,OH,6-2,18,16,63,NA,79,31,273,0.176,16,12,10,100,18,1,31,1,17.5,107.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,16,Emma Clothier,So,MB,6-2,18,18,61,NA,165,27,286,0.483,13,22,9,33,2,8,54,5,40,222,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,23,Lauryn Burrows,So,OH,5-8,63,NA,63,NA,4,9,27,-0.185,18,7,13,148,10,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,4,Paola Laborda,So,L/DS,5-7,2,NA,2,NA,0,0,0,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,17,Julia Bergmann,So,OH,6-5,19,19,64,NA,269,94,682,0.257,9,30,27,186,6,11,16,4,23,318,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,23,Erin Moss,So,MB,6-2,19,19,64,NA,100,26,180,0.411,6,NA,NA,19,NA,12,41,7,39.5,132.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,3,Nena Mbonu,So,OH,6-0,14,6,36,1,78,32,180,0.256,NA,NA,1,10,NA,2,8,2,8.5,84,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,4,Alexa Hendricks,So,L/DS,5-7,13,0,35,NA,1,0,1,1,5,NA,1,31,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,15,Aiko Jones,So,OPP,6-2,18,18,61,1,168,71,410,0.237,3,18,24,65,4,7,57,2,37.5,221.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,20,Rachael DeMarcus,So,S,5-7,5,2,10,NA,7,3,21,0.19,87,1,NA,10,NA,NA,2,NA,1,9,2,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,25,Amaya Tillman,So,MB,6-3,17,17,58,1,79,27,186,0.28,NA,NA,1,5,NA,23,77,3,65,140.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,1,Savannah Vach,So,S,5-11,18,18,70,NA,35,9,97,0.268,709,13,15,156,NA,4,21,2,16.5,62.5,16,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,2,Amanda Falck,So,DS,5-7,37,NA,37,NA,2,0,2,1,55,7,8,71,4,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,5,Kennedy Prince,So,OH,6-0,7,7,25,NA,11,9,43,0.047,3,NA,NA,1,NA,1,21,NA,11.5,22.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,12,Taylor Burrell,So,OH,6-0,9,6,26,NA,26,10,66,0.242,3,7,13,19,NA,1,15,1,9.5,41.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,14,Angela Grieve,So,OH,6-0,18,18,70,NA,222,94,620,0.206,12,24,34,139,29,13,16,5,26,267,3,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,17,Janice Leao,So,MB,6-3,8,8,33,NA,81,11,148,0.473,3,10,9,9,NA,1,35,NA,18.5,109.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,4,Hannah Reid,So,S,5-9,12,0,25,NA,0,0,0,NA,NA,3,12,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,5,Kristen McDaniel,So,S,5-9,17,17,61,NA,33,11,78,0.282,602,9,19,178,1,1,28,5,20,57,15,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,6,Hannah Wander,So,DS,5-5,17,3,55,NA,0,0,0,NA,17,7,8,76,13,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,8,Daniela McDonald,So,OH,6-1,2,NA,2,NA,2,1,6,0.167,NA,NA,NA,NA,NA,NA,1,NA,0.5,2.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,12,Taylor Rowland,So,OH,6-3,26,NA,26,NA,60,32,200,0.14,3,5,6,17,6,2,6,NA,5,70,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,30,Lydia Adam,So,MH,6-0,14,3,41,NA,72,41,242,0.128,1,NA,2,19,3,NA,8,2,6,76,1,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,6,Niki Khoshatefeh,So,MB,6-2,9,1,17,NA,11,3,20,0.4,2,NA,1,4,NA,2,13,2,11.5,19.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,8,Skyy Howard,So,MB,6-3,11,8,39,1,75,40,218,0.161,1,NA,1,24,NA,3,44,6,32.5,100,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,13,Carly Peck,So,OH,5-11,8,2,26,NA,34,25,133,0.068,2,NA,NA,7,1,NA,11,NA,5.5,39.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,15,Ryan Shannon,So,L/DS,5-6,18,2,58,NA,0,2,10,-0.2,10,10,9,86,11,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,21,Karenna Wurl,So,L/DS,5-10,16,1,61,NA,2,0,6,0.333,65,20,18,252,6,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,23,Parker Austin,So,OH,6-2,14,12,48,1,132,61,419,0.169,10,8,11,100,14,2,25,5,19.5,154.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,1,Sammi Lockwood,So,MB,6-3,6,NA,6,NA,1,1,7,0,NA,NA,NA,1,NA,NA,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,4,Nancy Kane,So,S,5-11,14,4,51,NA,4,1,10,0.3,7,9,15,102,3,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,9,Kiara Schmidt,So,L,5-6,16,3,58,NA,1,0,6,0.167,13,5,24,107,10,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,16,Caroline Meuth,So,OH,5-11,19,18,70,NA,202,81,563,0.215,9,9,18,119,NA,4,64,6,42,247,2,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,1,Lexis Akeo,So,S,5-8,24,10,88,NA,7,3,20,0.2,515,16,15,155,2,NA,4,1,3,25,7,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,4,Ashley Browske,So,L/DS,5-10,73,NA,73,NA,0,3,7,-0.429,61,5,13,199,18,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,20,Chiamaka Nwokolo,So,MB,6-1,24,22,88,NA,152,30,297,0.411,7,3,6,36,NA,5,72,5,48,196,1,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,3,Marina Markova,So,OH,6-5,8,8,27,NA,67,17,143,0.35,2,8,15,12,1,3,26,3,19,91,1,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,8,Berkley Hayes,So,DS,5-6,34,NA,34,NA,1,0,5,0.2,3,1,5,27,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,9,Lauren Woodford,So,S,5-8,14,3,36,NA,4,1,21,0.143,91,1,12,17,NA,NA,2,1,2,6,3,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,16,Abby Casiano,So,MB,6-2,16,16,59,NA,111,17,260,0.362,3,5,5,31,NA,11,53,11,48.5,153.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,19,Izzy Plummer,So,MB,6-3,8,8,32,NA,25,11,71,0.197,1,NA,NA,10,NA,1,18,6,16,35,2,NA,NA,NA,NA,NA,NA
